title:Neutral1, start timestamp:1764665195.227241, stop timestamp:1764665203.942667, headset type:FLEX2, headset serial:F30002B4, headset firmware:2f10, channels:283, sampling rate:eeg_256;mot_64;pow_8, samples:2231      , version:2.2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO9,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO10,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,EEG.FwBufferSize,EEG.FwClockTime,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO9,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO10,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.Cz,EQ.Fz,EQ.Fp1,EQ.F7,EQ.F3,EQ.FC1,EQ.C3,EQ.FC5,EQ.FT9,EQ.T7,EQ.CP5,EQ.CP1,EQ.P3,EQ.P7,EQ.PO9,EQ.O1,EQ.Pz,EQ.Oz,EQ.O2,EQ.PO10,EQ.P8,EQ.P4,EQ.CP2,EQ.CP6,EQ.T8,EQ.FT10,EQ.FC6,EQ.C4,EQ.FC2,EQ.F4,EQ.F8,EQ.Fp2,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,POW.Cz.Theta,POW.Cz.Alpha,POW.Cz.BetaL,POW.Cz.BetaH,POW.Cz.Gamma,POW.Fz.Theta,POW.Fz.Alpha,POW.Fz.BetaL,POW.Fz.BetaH,POW.Fz.Gamma,POW.Fp1.Theta,POW.Fp1.Alpha,POW.Fp1.BetaL,POW.Fp1.BetaH,POW.Fp1.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC1.Theta,POW.FC1.Alpha,POW.FC1.BetaL,POW.FC1.BetaH,POW.FC1.Gamma,POW.C3.Theta,POW.C3.Alpha,POW.C3.BetaL,POW.C3.BetaH,POW.C3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.FT9.Theta,POW.FT9.Alpha,POW.FT9.BetaL,POW.FT9.BetaH,POW.FT9.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.CP5.Theta,POW.CP5.Alpha,POW.CP5.BetaL,POW.CP5.BetaH,POW.CP5.Gamma,POW.CP1.Theta,POW.CP1.Alpha,POW.CP1.BetaL,POW.CP1.BetaH,POW.CP1.Gamma,POW.P3.Theta,POW.P3.Alpha,POW.P3.BetaL,POW.P3.BetaH,POW.P3.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.PO9.Theta,POW.PO9.Alpha,POW.PO9.BetaL,POW.PO9.BetaH,POW.PO9.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.Oz.Theta,POW.Oz.Alpha,POW.Oz.BetaL,POW.Oz.BetaH,POW.Oz.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.PO10.Theta,POW.PO10.Alpha,POW.PO10.BetaL,POW.PO10.BetaH,POW.PO10.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.P4.Theta,POW.P4.Alpha,POW.P4.BetaL,POW.P4.BetaH,POW.P4.Gamma,POW.CP2.Theta,POW.CP2.Alpha,POW.CP2.BetaL,POW.CP2.BetaH,POW.CP2.Gamma,POW.CP6.Theta,POW.CP6.Alpha,POW.CP6.BetaL,POW.CP6.BetaH,POW.CP6.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FT10.Theta,POW.FT10.Alpha,POW.FT10.BetaL,POW.FT10.BetaH,POW.FT10.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.C4.Theta,POW.C4.Alpha,POW.C4.BetaL,POW.C4.BetaH,POW.C4.Gamma,POW.FC2.Theta,POW.FC2.Alpha,POW.FC2.BetaL,POW.FC2.BetaH,POW.FC2.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.Fp2.Theta,POW.Fp2.Alpha,POW.Fp2.BetaL,POW.Fp2.BetaH,POW.Fp2.Gamma
1764665197.556566,1764665197.554193,35417,0,4377.563965,4397.563965,4492.820313,4520.897461,4390.897461,4511.794922,4542.05127,4378.077148,4570,4382.820313,4491.538574,4511.794922,4573.717773,4406.794922,4382.179688,4511.282227,4544.743652,4543.333496,4509.487305,4383.589844,4396.666504,4570.769043,4525.512695,4509.230957,4396.666504,4572.820313,4389.358887,4558.589844,4502.692383,4403.846191,4510.384766,4492.94873,2818,1,26,2564,8558,1,1,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25238,0,0.253696,-0.610962,-0.722473,0.200989,0.984495,0.168478,0.030277,23.166666,29.833334,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665197.560474,1764665197.558100,35418,0,4370.512695,4389.871582,4488.461426,4516.794922,4388.077148,4504.487305,4537.179688,4374.230957,4570.384766,4385.256348,4488.974121,4504.615234,4566.794922,4400.641113,4377.94873,4503.333496,4537.307617,4535.769043,4503.333496,4373.974121,4388.974121,4562.94873,4518.333496,4501.153809,4389.102539,4571.153809,4383.846191,4552.307617,4497.179688,4397.820313,4510.384766,4490.769043,1959,1,26,2565,8566,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002258,1.05516,0.726697,1.25366,0.841377,2.086336,0.545084,0.921198,1.208894,0.816936,2.904496,0.711992,1.362057,1.259598,0.881047,1.058797,0.44255,0.81369,1.555899,0.793725,1.419823,0.626653,1.596756,1.098426,0.782598,1.279999,0.704771,0.700533,0.95239,0.651313,1.018315,0.523716,0.81035,1.15354,0.781015,1.191423,0.452278,0.751605,0.95688,0.914822,0.727622,0.665197,0.556677,1.462094,1.028919,1.632181,1.117531,1.168875,2.032772,1.644557,0.563273,0.57486,0.321568,0.734802,0.656864,0.955535,1.090109,0.77264,1.183576,0.783072,0.666253,0.455534,0.31683,0.910364,0.725594,0.57206,0.661763,0.387064,0.795225,0.540127,0.459797,0.611784,0.233978,1.120738,0.774563,1.004081,0.504117,0.409427,0.871806,0.537041,1.036705,1.137707,0.791284,1.321021,0.777772,0.969136,0.895638,0.443893,1.453416,0.624254,0.487968,0.507026,0.275268,0.902248,0.402422,0.851247,0.595496,0.41707,1.02867,0.773325,1.24183,0.830871,0.676453,1.269878,0.667737,1.2094,1.083471,0.443126,1.134885,0.788789,1.16196,1.111205,0.706282,1.368363,0.641263,1.623453,1.042973,0.583174,1.18608,0.719169,1.091533,1.555001,1.178142,1.540161,2.324394,2.25713,0.918978,0.983597,0.997513,0.705346,0.891835,0.647231,0.785959,1.577231,0.888622,1.344233,1.103112,0.847634,1.499947,0.8922,0.668967,0.474613,0.349506,0.706856,0.309773,1.568247,0.462224,0.579297,1.20927,0.899825,1.132451,0.625208,1.018196,1.298502,0.780389,1.936134,0.755924,0.775978,1.052001,1.076966
1764665197.564382,1764665197.562008,35419,0,4367.692383,4385,4487.94873,4516.794922,4387.179688,4502.692383,4534.358887,4373.077148,4572.179688,4384.743652,4489.358887,4501.666504,4563.077148,4397.307617,4377.692383,4500.128418,4535,4532.05127,4502.05127,4369.743652,4385.256348,4559.743652,4514.615234,4497.436035,4385.897461,4570.128418,4380.641113,4549.230957,4494.743652,4393.205078,4514.871582,4491.153809,2639,1,26,2565,8566,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665197.568291,1764665197.565915,35420,0,4371.282227,4385.384766,4490.897461,4520,4388.717773,4506.410156,4535.641113,4375.256348,4573.974121,4381.794922,4492.436035,4504.358887,4563.846191,4397.307617,4381.794922,4502.436035,4538.205078,4533.461426,4505,4372.94873,4387.436035,4561.666504,4515.897461,4499.102539,4389.230957,4570,4381.025879,4551.410156,4496.922852,4391.538574,4519.871582,4492.692383,2691,1,26,2566,8574,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665197.572199,1764665197.569823,35421,0,4378.333496,4389.230957,4493.205078,4522.563965,4390.641113,4511.282227,4538.717773,4378.589844,4573.589844,4377.94873,4495.512695,4509.487305,4566.538574,4398.717773,4386.922852,4507.179688,4542.820313,4537.436035,4508.333496,4379.230957,4391.922852,4565.512695,4519.743652,4502.563965,4397.692383,4569.487305,4382.820313,4556.410156,4500.897461,4391.538574,4521.410156,4492.307617,2509,1,26,2566,8574,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25239,0,0.25359,-0.610962,-0.722595,0.200684,0.980588,0.173361,0.020999,23.166666,29.333334,44.166668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665197.576107,1764665197.573730,35422,0,4382.820313,4391.922852,4490.769043,4521.538574,4391.025879,4512.94873,4539.102539,4380,4569.871582,4374.230957,4496.153809,4512.692383,4567.563965,4398.717773,4388.205078,4510,4544.487305,4539.743652,4508.333496,4381.922852,4393.974121,4566.666504,4521.666504,4502.692383,4405.769043,4566.282227,4382.179688,4558.974121,4502.692383,4390.512695,4517.307617,4487.820313,2652,1,26,2567,8582,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665197.580016,1764665197.577638,35423,0,4380.128418,4390.128418,4483.333496,4516.282227,4388.461426,4510.128418,4535.256348,4377.179688,4563.717773,4371.410156,4493.461426,4511.410156,4565.256348,4396.025879,4383.589844,4508.974121,4541.410156,4538.589844,4504.358887,4378.077148,4390.769043,4562.820313,4518.846191,4497.563965,4407.307617,4560.512695,4377.05127,4555.512695,4500,4387.05127,4509.615234,4480,2825,1,26,2567,8582,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665197.583924,1764665197.581545,35424,1,4373.077148,4386.624023,4480.256348,4512.222168,4384.743652,4507.905762,4533.418945,4373.846191,4562.136719,4369.273438,4491.624023,4508.248047,4564.187988,4393.931641,4380.341797,4506.495605,4538.119629,4536.495605,4502.265137,4375.641113,4387.478516,4559.529785,4514.786133,4493.675293,4395.427246,4557.692383,4372.606934,4548.461426,4496.111328,4384.487305,4506.410156,4479.060059,0,1,26,0,0,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665197.587832,1764665197.585452,35425,1,4366.025879,4383.119629,4477.179688,4508.162598,4381.025879,4505.683594,4531.581055,4370.512695,4560.555664,4367.136719,4489.786133,4505.085449,4563.119629,4391.837402,4377.094238,4504.01709,4534.829102,4534.401855,4500.170898,4373.205078,4384.187988,4556.239258,4510.726563,4489.786133,4383.546875,4554.871582,4368.162598,4541.410156,4492.222168,4381.922852,4503.205078,4478.119629,0,1,26,0,0,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665197.591740,1764665197.589360,35426,0,4358.974121,4379.615234,4474.102539,4504.102539,4377.307617,4503.461426,4529.743652,4367.179688,4558.974121,4365,4487.94873,4501.922852,4562.05127,4389.743652,4373.846191,4501.538574,4531.538574,4532.307617,4498.077148,4370.769043,4380.897461,4552.94873,4506.666504,4485.897461,4371.666504,4552.05127,4363.717773,4534.358887,4488.333496,4379.358887,4500,4477.179688,2601,1,26,2569,8597,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
