title:Neutral3, start timestamp:1764665234.159713, stop timestamp:1764665241.533611, headset type:FLEX2, headset serial:F30002B4, headset firmware:2f10, channels:283, sampling rate:eeg_256;mot_64;pow_8, samples:1889      , version:2.2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO9,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO10,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,EEG.FwBufferSize,EEG.FwClockTime,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO9,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO10,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.Cz,EQ.Fz,EQ.Fp1,EQ.F7,EQ.F3,EQ.FC1,EQ.C3,EQ.FC5,EQ.FT9,EQ.T7,EQ.CP5,EQ.CP1,EQ.P3,EQ.P7,EQ.PO9,EQ.O1,EQ.Pz,EQ.Oz,EQ.O2,EQ.PO10,EQ.P8,EQ.P4,EQ.CP2,EQ.CP6,EQ.T8,EQ.FT10,EQ.FC6,EQ.C4,EQ.FC2,EQ.F4,EQ.F8,EQ.Fp2,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,POW.Cz.Theta,POW.Cz.Alpha,POW.Cz.BetaL,POW.Cz.BetaH,POW.Cz.Gamma,POW.Fz.Theta,POW.Fz.Alpha,POW.Fz.BetaL,POW.Fz.BetaH,POW.Fz.Gamma,POW.Fp1.Theta,POW.Fp1.Alpha,POW.Fp1.BetaL,POW.Fp1.BetaH,POW.Fp1.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC1.Theta,POW.FC1.Alpha,POW.FC1.BetaL,POW.FC1.BetaH,POW.FC1.Gamma,POW.C3.Theta,POW.C3.Alpha,POW.C3.BetaL,POW.C3.BetaH,POW.C3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.FT9.Theta,POW.FT9.Alpha,POW.FT9.BetaL,POW.FT9.BetaH,POW.FT9.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.CP5.Theta,POW.CP5.Alpha,POW.CP5.BetaL,POW.CP5.BetaH,POW.CP5.Gamma,POW.CP1.Theta,POW.CP1.Alpha,POW.CP1.BetaL,POW.CP1.BetaH,POW.CP1.Gamma,POW.P3.Theta,POW.P3.Alpha,POW.P3.BetaL,POW.P3.BetaH,POW.P3.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.PO9.Theta,POW.PO9.Alpha,POW.PO9.BetaL,POW.PO9.BetaH,POW.PO9.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.Oz.Theta,POW.Oz.Alpha,POW.Oz.BetaL,POW.Oz.BetaH,POW.Oz.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.PO10.Theta,POW.PO10.Alpha,POW.PO10.BetaL,POW.PO10.BetaH,POW.PO10.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.P4.Theta,POW.P4.Alpha,POW.P4.BetaL,POW.P4.BetaH,POW.P4.Gamma,POW.CP2.Theta,POW.CP2.Alpha,POW.CP2.BetaL,POW.CP2.BetaH,POW.CP2.Gamma,POW.CP6.Theta,POW.CP6.Alpha,POW.CP6.BetaL,POW.CP6.BetaH,POW.CP6.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FT10.Theta,POW.FT10.Alpha,POW.FT10.BetaL,POW.FT10.BetaH,POW.FT10.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.C4.Theta,POW.C4.Alpha,POW.C4.BetaL,POW.C4.BetaH,POW.C4.Gamma,POW.FC2.Theta,POW.FC2.Alpha,POW.FC2.BetaL,POW.FC2.BetaH,POW.FC2.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.Fp2.Theta,POW.Fp2.Alpha,POW.Fp2.BetaL,POW.Fp2.BetaH,POW.Fp2.Gamma
1764665234.651892,44913,1,4372.94873,4391.760742,4507.829102,4531.025879,4395.393066,4508.375977,4533.094238,4389.692383,4559.974121,4378.777832,4495.418945,4501.709473,4556.273438,4400.563965,4372.598145,4502.273438,4540.692383,4533.213867,4500.931641,4369.273438,4386.914551,4558.974121,4507.931641,4494.863281,4390.265137,4565.871582,4376.905762,4553.803223,4493.914551,4384.256348,4515.495605,4493.282227,0,1,25,0,0,1,1,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665234.655799,44914,1,4371.282227,4389.128418,4505.794922,4530.256348,4393.358887,4506.666504,4531.974121,4388.692383,4559.025879,4378.512695,4494.846191,4500.897461,4555.871582,4400.282227,4372.538574,4502.974121,4539.641113,4532.589844,4500.487305,4368.077148,4385.487305,4557.307617,4506.487305,4493.436035,4388.743652,4564.282227,4374.692383,4551.538574,4492.641113,4381.615234,4512.769043,4491.128418,0,1,25,0,0,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665234.659707,44915,1,4369.615234,4386.495605,4503.760742,4529.487305,4391.324707,4504.957031,4530.854492,4387.692383,4558.077148,4378.248047,4494.273438,4500.085449,4555.470215,4400,4372.478516,4503.675293,4538.589844,4531.96582,4500.042969,4366.880371,4384.060059,4555.641113,4505.042969,4492.008789,4387.222168,4562.692383,4372.478516,4549.273438,4491.367676,4378.974121,4510.042969,4488.974121,0,1,25,0,0,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27611,1,0.263303,-0.600021,-0.732941,0.182877,0.966671,0.214504,0.059578,23.625,27.958334,44.708332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665234.663614,44916,1,4367.94873,4383.863281,4501.726563,4528.717773,4389.290527,4503.248047,4529.734863,4386.692383,4557.128418,4377.98291,4493.700684,4499.273438,4555.068359,4399.717773,4372.418945,4504.375977,4537.538574,4531.341797,4499.598145,4365.683594,4382.632324,4553.974121,4503.598145,4490.581055,4385.700684,4561.102539,4370.265137,4547.008789,4490.094238,4376.333496,4507.316406,4486.820313,0,1,25,0,0,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665234.667521,44917,1,4366.282227,4381.230957,4499.692383,4527.94873,4387.256348,4501.538574,4528.615234,4385.692383,4556.179688,4377.717773,4493.128418,4498.461426,4554.666504,4399.436035,4372.358887,4505.077148,4536.487305,4530.717773,4499.153809,4364.487305,4381.205078,4552.307617,4502.153809,4489.153809,4384.179688,4559.512695,4368.05127,4544.743652,4488.820313,4373.692383,4504.589844,4484.666504,0,1,25,0,0,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27612,1,0.263285,-0.600006,-0.732971,0.182831,0.966427,0.215114,0.057624,23.583334,28.083334,44.416668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665234.671428,44918,1,4364.615234,4378.598145,4497.658203,4527.179688,4385.222168,4499.829102,4527.495605,4384.692383,4555.230957,4377.453125,4492.555664,4497.649414,4554.265137,4399.153809,4372.299316,4505.777832,4535.436035,4530.094238,4498.709473,4363.290527,4379.777832,4550.641113,4500.709473,4487.726563,4382.658203,4557.922852,4365.837402,4542.478516,4487.546875,4371.05127,4501.863281,4482.512695,0,1,25,0,0,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665234.675335,44919,1,4362.94873,4375.96582,4495.624023,4526.410156,4383.187988,4498.119629,4526.375977,4383.692383,4554.282227,4377.187988,4491.98291,4496.837402,4553.863281,4398.871582,4372.239258,4506.478516,4534.384766,4529.470215,4498.265137,4362.094238,4378.350586,4548.974121,4499.265137,4486.299316,4381.136719,4556.333496,4363.624023,4540.213867,4486.273438,4368.410156,4499.136719,4480.358887,0,1,25,0,0,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27613,1,0.263266,-0.599991,-0.733002,0.182785,0.966182,0.215725,0.055671,23.541666,28.208334,44.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665234.679243,44920,0,4361.282227,4373.333496,4493.589844,4525.641113,4381.153809,4496.410156,4525.256348,4382.692383,4553.333496,4376.922852,4491.410156,4496.025879,4553.461426,4398.589844,4372.179688,4507.179688,4533.333496,4528.846191,4497.820313,4360.897461,4376.922852,4547.307617,4497.820313,4484.871582,4379.615234,4554.743652,4361.410156,4537.94873,4485,4365.769043,4496.410156,4478.205078,2758,1,25,2570,45678,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665234.683150,44921,0,4359.743652,4370.769043,4490.128418,4522.05127,4376.153809,4496.025879,4521.794922,4380.128418,4553.589844,4382.436035,4489.743652,4493.205078,4553.974121,4398.333496,4370.128418,4506.025879,4529.743652,4526.410156,4497.820313,4361.922852,4377.820313,4547.05127,4498.333496,4481.025879,4372.436035,4556.666504,4361.153809,4537.820313,4484.230957,4363.461426,4497.692383,4478.717773,2809,1,25,2570,45678,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27614,0,0.263248,-0.599976,-0.733032,0.182739,0.965938,0.216335,0.053717,23.5,28.333334,43.833332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764665234.687057,44922,0,4359.615234,4367.94873,4487.692383,4520.512695,4372.94873,4496.153809,4520.256348,4376.666504,4552.563965,4392.307617,4487.820313,4491.922852,4554.102539,4396.666504,4368.205078,4501.282227,4525.256348,4522.692383,4495.512695,4365.641113,4376.794922,4548.077148,4498.077148,4475.512695,4367.436035,4555.128418,4358.974121,4536.282227,4483.077148,4362.692383,4494.615234,4477.436035,1951,1,25,2571,45686,,,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,0.972656,100,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,2.512794,4.222599,0.464658,0.640338,0.612952,2.59637,4.343226,0.380497,0.875865,0.646389,1.193932,4.201684,0.759023,0.761036,0.773011,0.705659,3.852975,0.721315,0.799258,0.692745,1.753527,4.168241,0.479291,0.666651,0.547883,1.819875,5.075151,0.408516,0.585051,0.60252,1.57527,4.363642,0.523615,0.655135,0.718659,1.86379,4.459684,0.621834,0.79463,0.772133,0.968334,2.995847,0.70219,0.606969,0.680578,0.936839,3.707804,0.993434,1.524059,1.248317,1.318912,2.45454,0.31269,0.519718,0.548925,2.036155,3.957911,0.333248,0.543496,0.629107,1.496022,2.945504,0.609985,0.552209,0.587336,0.643969,0.686782,0.603921,0.407042,0.441589,0.252074,0.445598,0.688431,0.601845,0.740153,0.986579,1.180625,0.692545,0.459965,0.452509,2.682229,5.783681,0.975513,0.729945,0.636788,0.959087,2.748745,1.280286,0.890422,0.682104,0.467122,2.647635,1.029282,0.49128,0.373955,0.574141,2.806791,0.969987,0.924442,0.750037,1.571621,3.607062,2.167935,0.937416,0.656098,2.421782,4.612479,1.52328,0.980404,0.656328,3.059182,3.623693,0.543665,0.637642,0.618364,2.504831,2.529939,1.193003,1.200069,0.769284,2.249794,4.763366,1.722545,2.02868,1.804191,2.210141,1.504463,0.766173,0.934844,0.605595,3.096478,2.909144,0.746312,1.039616,0.816851,3.676367,3.717794,0.664256,0.847314,0.653953,2.047247,2.272637,0.235041,0.454827,0.280473,3.645276,2.631269,0.787258,0.885163,0.691604,4.077494,2.116391,0.516465,0.852501,0.692243,3.61515,2.760705,0.582921,0.88967,0.748387
