Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO9,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO10,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,EEG.FwBufferSize,EEG.FwClockTime,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO9,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO10,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.Cz,EQ.Fz,EQ.Fp1,EQ.F7,EQ.F3,EQ.FC1,EQ.C3,EQ.FC5,EQ.FT9,EQ.T7,EQ.CP5,EQ.CP1,EQ.P3,EQ.P7,EQ.PO9,EQ.O1,EQ.Pz,EQ.Oz,EQ.O2,EQ.PO10,EQ.P8,EQ.P4,EQ.CP2,EQ.CP6,EQ.T8,EQ.FT10,EQ.FC6,EQ.C4,EQ.FC2,EQ.F4,EQ.F8,EQ.Fp2,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,POW.Cz.Theta,POW.Cz.Alpha,POW.Cz.BetaL,POW.Cz.BetaH,POW.Cz.Gamma,POW.Fz.Theta,POW.Fz.Alpha,POW.Fz.BetaL,POW.Fz.BetaH,POW.Fz.Gamma,POW.Fp1.Theta,POW.Fp1.Alpha,POW.Fp1.BetaL,POW.Fp1.BetaH,POW.Fp1.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC1.Theta,POW.FC1.Alpha,POW.FC1.BetaL,POW.FC1.BetaH,POW.FC1.Gamma,POW.C3.Theta,POW.C3.Alpha,POW.C3.BetaL,POW.C3.BetaH,POW.C3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.FT9.Theta,POW.FT9.Alpha,POW.FT9.BetaL,POW.FT9.BetaH,POW.FT9.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.CP5.Theta,POW.CP5.Alpha,POW.CP5.BetaL,POW.CP5.BetaH,POW.CP5.Gamma,POW.CP1.Theta,POW.CP1.Alpha,POW.CP1.BetaL,POW.CP1.BetaH,POW.CP1.Gamma,POW.P3.Theta,POW.P3.Alpha,POW.P3.BetaL,POW.P3.BetaH,POW.P3.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.PO9.Theta,POW.PO9.Alpha,POW.PO9.BetaL,POW.PO9.BetaH,POW.PO9.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.Oz.Theta,POW.Oz.Alpha,POW.Oz.BetaL,POW.Oz.BetaH,POW.Oz.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.PO10.Theta,POW.PO10.Alpha,POW.PO10.BetaL,POW.PO10.BetaH,POW.PO10.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.P4.Theta,POW.P4.Alpha,POW.P4.BetaL,POW.P4.BetaH,POW.P4.Gamma,POW.CP2.Theta,POW.CP2.Alpha,POW.CP2.BetaL,POW.CP2.BetaH,POW.CP2.Gamma,POW.CP6.Theta,POW.CP6.Alpha,POW.CP6.BetaL,POW.CP6.BetaH,POW.CP6.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FT10.Theta,POW.FT10.Alpha,POW.FT10.BetaL,POW.FT10.BetaH,POW.FT10.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.C4.Theta,POW.C4.Alpha,POW.C4.BetaL,POW.C4.BetaH,POW.C4.Gamma,POW.FC2.Theta,POW.FC2.Alpha,POW.FC2.BetaL,POW.FC2.BetaH,POW.FC2.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.Fp2.Theta,POW.Fp2.Alpha,POW.Fp2.BetaL,POW.Fp2.BetaH,POW.Fp2.Gamma
1763975431.29394,4549.0,0.0,4450.897461,4460.0,4567.563965,4581.666504,4449.358887,4556.666504,4592.820313,4449.743652,4614.102539,4422.05127,4547.94873,4580.384766,4620.897461,4440.0,4419.743652,4527.436035,4605.0,4577.692383,4549.487305,4436.794922,4431.153809,4628.077148,4587.307617,4563.333496,4442.820313,4626.794922,4440.897461,4614.743652,4559.615234,4454.743652,4576.025879,4557.692383,2395.0,0.0,14.0,2561.0,37556.0,5.0,1.0,5.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33905.0,0.0,0.47851,0.294189,0.210022,0.800232,0.887804,-0.460505,0.048346,37.333332,-21.166666,-25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763975431.297846,4550.0,0.0,4455.897461,4465.897461,4565.256348,4582.436035,4450.256348,4555.512695,4596.153809,4454.487305,4616.794922,4422.820313,4552.820313,4586.153809,4626.922852,4444.358887,4429.102539,4549.743652,4611.666504,4589.230957,4549.358887,4438.717773,4434.871582,4631.025879,4593.461426,4566.153809,4451.794922,4634.487305,4447.05127,4618.205078,4565.128418,4459.615234,4581.025879,4563.846191,2964.0,0.0,14.0,2562.0,37564.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763975431.301752,4551.0,0.0,4442.563965,4450.512695,4545.384766,4563.077148,4433.974121,4537.179688,4581.025879,4436.794922,4600.641113,4407.94873,4539.743652,4571.794922,4614.102539,4433.846191,4417.05127,4554.230957,4599.743652,4581.794922,4533.205078,4417.94873,4419.487305,4613.589844,4578.333496,4549.230957,4438.974121,4616.794922,4430.128418,4599.871582,4551.025879,4440.384766,4562.05127,4543.974121,2952.0,0.0,14.0,2562.0,37564.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763975431.305657,4552.0,0.0,4416.922852,4422.307617,4519.871582,4533.717773,4409.230957,4510.769043,4553.717773,4404.743652,4574.487305,4388.974121,4514.102539,4542.820313,4587.179688,4412.563965,4389.871582,4537.307617,4573.461426,4558.461426,4507.94873,4385.512695,4392.179688,4583.974121,4548.077148,4521.282227,4411.794922,4583.589844,4398.589844,4568.846191,4524.230957,4407.436035,4529.743652,4509.230957,2634.0,0.0,14.0,2561.0,37571.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.875,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,2.895977,9.565351,7.100442,5.084928,7.14439,3.4648,4.379135,6.66177,5.883012,6.762201,3.131305,3.59843,7.34897,7.46852,7.426658,3.366092,3.080446,6.939814,6.534537,7.760024,2.724596,2.779318,5.015419,4.626545,5.1917,3.714407,2.758169,4.013547,3.217546,5.066163,2.90979,7.167101,5.108125,5.423779,7.869341,3.234287,2.448544,7.294958,6.085277,8.670054,2.969333,2.425313,4.834523,6.129975,7.55266,1.976704,3.51199,4.910988,11.943357,8.862698,1.445314,3.971329,3.518129,4.280534,6.977345,3.261475,15.24443,6.115988,5.022189,7.414449,3.512466,18.230068,4.891117,4.738696,8.818501,0.698437,2.984039,1.689676,3.417872,7.164711,0.700911,2.903954,3.694125,5.259048,8.562073,3.399668,9.690187,5.132314,5.995453,13.745106,3.159768,28.698444,6.359222,4.191801,7.318972,2.284427,9.551472,5.941178,6.388478,11.276716,2.389401,8.743563,7.256173,5.619337,9.141627,2.888485,6.529558,7.285642,8.574124,8.894268,2.844252,8.160448,6.750409,6.503575,7.853811,3.084797,24.006351,8.460566,6.001632,8.653225,3.594042,19.259701,8.808002,6.359618,8.541451,2.307329,10.320251,6.905325,6.102488,8.462539,4.504349,8.403554,7.343019,8.79458,8.315259,3.846949,5.973183,6.51155,7.913569,8.154928,4.482574,7.257452,8.093989,6.966253,8.321643,4.040162,10.731836,7.416793,6.605251,8.334886,4.399025,6.808865,7.440958,5.817442,7.10809,4.711721,5.687635,7.393089,6.425142,7.338366,4.796846,6.764602,7.882545,7.576625,8.380052,4.369887,4.873368,7.57947,7.419389,7.371484
1763975431.309563,4553.0,0.0,4390.384766,4395.769043,4500.641113,4508.205078,4388.205078,4488.974121,4526.282227,4373.077148,4551.282227,4378.077148,4487.307617,4511.922852,4557.94873,4390.128418,4361.410156,4507.692383,4544.102539,4531.025879,4485.641113,4358.974121,4365.769043,4555.641113,4516.153809,4495.384766,4383.846191,4551.666504,4367.692383,4539.615234,4497.179688,4377.179688,4500.384766,4477.307617,2817.0,0.0,14.0,2561.0,37571.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33906.0,0.0,0.47851,0.294189,0.210022,0.800232,0.893175,-0.455622,0.056648,35.333332,-19.666666,-24.666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763975431.313469,4554.0,0.0,4373.589844,4383.077148,4493.461426,4496.410156,4379.871582,4481.153809,4509.358887,4355.512695,4540.256348,4378.077148,4470.384766,4492.307617,4538.461426,4375.769043,4345.512695,4481.025879,4523.077148,4512.179688,4476.538574,4350.641113,4351.794922,4540.256348,4496.025879,4481.538574,4366.922852,4534.743652,4350.512695,4523.717773,4481.282227,4362.05127,4485.769043,4461.922852,2662.0,0.0,14.0,2562.0,37579.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763975431.317375,4555.0,0.0,4371.666504,4387.94873,4497.179688,4499.102539,4385.256348,4488.846191,4507.179688,4356.538574,4542.94873,4383.333496,4468.333496,4489.743652,4534.871582,4373.589844,4348.589844,4469.358887,4516.410156,4508.205078,4483.461426,4361.153809,4354.230957,4541.025879,4493.589844,4482.692383,4365.384766,4537.05127,4351.538574,4524.871582,4481.410156,4364.743652,4488.589844,4466.666504,2979.0,0.0,14.0,2562.0,37579.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763975431.321281,4556.0,0.0,4382.436035,4404.487305,4506.666504,4510.769043,4398.717773,4505.641113,4517.05127,4371.153809,4554.358887,4388.717773,4478.333496,4500.769043,4545.256348,4382.692383,4366.922852,4476.282227,4522.179688,4516.153809,4499.102539,4380.384766,4368.589844,4552.436035,4505.0,4494.102539,4374.230957,4552.692383,4365.769043,4537.820313,4493.717773,4379.358887,4502.436035,4484.615234,2924.0,0.0,14.0,2563.0,37587.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763975431.325186,4557.0,0.0,4398.205078,4422.05127,4516.538574,4523.205078,4411.794922,4521.666504,4530.769043,4388.461426,4566.666504,4393.974121,4491.922852,4515.512695,4560.769043,4397.179688,4388.974121,4496.025879,4532.563965,4528.205078,4511.153809,4394.615234,4384.615234,4564.230957,4520.128418,4506.282227,4384.615234,4570.0,4382.563965,4552.436035,4508.974121,4395.641113,4517.692383,4503.846191,2704.0,0.0,14.0,2563.0,37587.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33907.0,0.0,0.478548,0.294128,0.210022,0.800232,0.907826,-0.453669,0.056159,37.166668,-20.166666,-27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763975431.329092,4558.0,0.0,4409.358887,4430.384766,4521.794922,4529.615234,4417.94873,4528.846191,4539.743652,4398.077148,4572.94873,4400.128418,4499.871582,4523.461426,4571.282227,4409.487305,4401.794922,4517.94873,4538.846191,4537.179688,4512.05127,4394.871582,4392.820313,4568.077148,4528.205078,4511.025879,4388.205078,4578.589844,4391.666504,4559.871582,4517.436035,4404.743652,4526.153809,4513.205078,2705.0,0.0,14.0,2564.0,37595.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
